time,QI_BL1_1@PV,QI_BL2_1@PV,QI_BL3_1@PV,QI_BL4_1@PV,QI_BLA_1@PV,QI_BL5_1@PV,QI_BL6_1@PV,QI_BL7_1@PV,QI_NTU_1@PV,QI_BP2_1@PV,QI_FUS_1@PV,QI_F2B@PV,QI_MUD@PV,QI_HOT@PV,QI_BP3@PV
2011-04-03 00:01:00,291.0,222.0,173.25,302.25,1209.0,843.75,594.0,576.75,32.25,936.0,460.0,59.303902,1.4881001,0.75093299,0.74768502
2011-04-03 00:02:00,291.75,219.0,173.25,305.25,1211.25,836.25,585.0,582.0,30.75,932.25,464.0,60.1339,1.47074,0.63889301,23.2143
2011-04-03 00:03:00,297.75,204.75,176.25,302.25,1206.0,854.25,591.0,593.25,27.0,954.0,456.0,60.565498,1.4337,0.533732,41.663399
2011-04-03 00:04:00,291.0,207.0,177.75,306.0,1197.0,846.75,600.75,572.25,0.75,953.25,450.0,59.303902,1.37731,0.53637803,113.448
2011-04-03 00:05:00,282.0,204.75,176.25,315.75,1188.75,831.0,608.25,573.75,3.75,948.0,456.0,57.870399,1.4608099,0.53042501,68.593102
2011-04-03 00:06:00,261.75,204.75,174.0,312.75,1203.0,816.75,605.25,573.75,20.25,947.25,454.0,57.295601,1.36342,0.52910298,33.188702
2011-04-03 00:07:00,267.75,204.75,176.25,308.25,1217.25,815.25,644.25,573.75,18.75,948.0,462.0,51.9431,1.375,0.53307098,17.980801
2011-04-03 00:08:00,276.75,204.75,180.75,311.25,1197.0,836.25,638.25,578.25,18.75,947.25,470.0,50.409698,1.39583,0.54166901,0.0
2011-04-03 00:09:00,276.75,200.25,195.0,339.75,1223.25,852.0,605.25,576.0,20.25,968.25,470.0,50.409698,1.5079401,0.54166901,0.0
2011-04-03 00:10:00,273.75,200.25,192.0,333.75,1220.25,840.75,585.75,566.25,24.0,947.25,476.0,50.4688,1.54282,0.64761299,0.0
2011-04-03 00:11:00,285.0,195.0,204.0,312.75,1209.0,843.75,576.75,572.25,21.0,942.75,476.0,50.2202,1.4905699,0.75370002,0.0
2011-04-03 00:12:00,296.25,195.0,201.0,302.25,1191.0,833.25,603.75,572.25,21.0,939.0,476.0,50.4795,1.44089,0.64364499,0.0
2011-04-03 00:13:00,296.25,197.25,213.0,299.25,1185.75,819.75,627.0,564.75,21.0,957.75,466.0,52.367901,1.4337,0.429629,0.0
2011-04-03 00:14:00,300.0,195.0,222.0,300.0,1185.75,819.75,620.25,560.25,21.0,960.0,472.0,53.919498,1.43609,0.429629,0.0
2011-04-03 00:15:00,296.25,195.0,228.0,296.25,1188.75,819.75,617.25,567.0,21.0,911.25,466.0,53.6954,1.4337,0.42910001,0.0
2011-04-03 00:16:00,306.0,195.0,245.25,317.25,1176.75,813.0,603.0,578.25,21.0,914.25,472.0,54.025101,1.3842601,0.534383,0.0
2011-04-03 00:17:00,300.0,200.25,255.75,309.75,1205.25,828.0,605.25,567.0,21.75,935.25,474.0,55.184502,1.37963,0.534383,0.0
2011-04-03 00:18:00,296.25,201.75,264.75,315.75,1203.0,836.25,579.75,561.75,21.75,915.0,482.0,54.563499,1.43609,0.534383,0.0
2011-04-03 00:19:00,299.25,201.75,270.0,318.75,1203.0,836.25,585.0,572.25,21.75,938.25,472.0,55.688499,1.4337,0.53768998,0.0
2011-04-03 00:20:00,296.25,201.75,278.25,324.0,1214.25,839.25,591.0,567.0,21.75,912.0,464.0,55.6875,1.38195,0.536367,0.0
2011-04-03 00:21:00,270.75,201.75,276.0,327.0,1203.0,836.25,600.75,588.0,21.75,911.25,476.0,56.273499,1.38658,0.536367,0.0
2011-04-03 00:22:00,252.75,198.75,270.0,330.0,1214.25,846.0,594.0,585.0,24.0,938.25,484.0,56.163502,1.4265,0.53768998,0.0
2011-04-03 00:23:00,252.75,204.75,266.25,330.0,1226.25,839.25,587.25,573.75,23.25,939.75,478.0,56.782101,1.4337,0.64205801,0.0
2011-04-03 00:24:00,249.75,198.75,260.25,300.75,1208.25,822.75,578.25,560.25,23.25,932.25,478.0,57.206402,1.4337,0.534383,3.4375
2011-04-03 00:25:00,246.75,197.25,254.25,297.0,1217.25,831.0,578.25,569.25,23.25,933.0,462.0,55.752701,1.42171,0.53307098,16.273199
2011-04-03 00:26:00,258.75,198.75,243.75,294.0,1206.0,837.75,564.75,569.25,23.25,921.75,466.0,56.712101,1.4169101,0.53042501,89.011398
2011-04-03 00:27:00,288.0,198.75,237.75,294.0,1203.0,840.75,579.75,569.25,23.25,915.0,458.0,56.138901,1.41452,0.52711803,99.765602
2011-04-03 00:28:00,302.25,203.25,201.75,294.0,1206.0,846.0,612.75,572.25,23.25,914.25,462.0,56.163502,1.4097199,0.52711803,51.177299
2011-04-03 00:29:00,299.25,206.25,204.75,312.0,1200.0,837.75,618.0,573.75,27.0,933.0,458.0,55.976501,1.35648,0.42275101,25.9849
2011-04-03 00:30:00,300.75,213.75,207.75,321.0,1214.25,833.25,615.75,567.75,27.0,936.0,460.0,56.233501,1.32143,0.42645499,4.9867702
2011-04-03 00:31:00,297.75,219.0,215.25,335.25,1194.0,831.0,621.75,579.75,27.75,929.25,464.0,55.856499,1.4313,0.53439403,0.0
2011-04-03 00:32:00,300.75,222.0,198.0,332.25,1185.75,816.75,609.75,594.0,27.75,909.75,464.0,55.980801,1.43849,0.53637803,0.0
2011-04-03 00:33:00,300.75,222.0,204.0,317.25,1197.0,819.75,575.25,588.0,27.75,915.0,468.0,56.227798,1.43849,0.53968501,0.0
2011-04-03 00:34:00,299.25,225.0,204.0,315.0,1188.0,822.75,575.25,573.75,27.75,912.0,470.0,55.854198,1.43849,0.64921099,0.0
2011-04-03 00:35:00,267.75,227.25,204.0,318.75,1188.0,836.25,584.25,587.25,27.75,935.25,470.0,56.647499,1.49306,0.64762402,0.0
2011-04-03 00:36:00,249.75,222.0,204.0,321.75,1185.75,833.25,593.25,563.25,27.75,915.75,462.0,56.164001,1.54283,0.64762402,0.0
2011-04-03 00:37:00,234.75,222.0,198.75,300.75,1182.75,828.0,600.0,569.25,27.75,936.0,468.0,55.537498,1.49306,0.64683002,0.0
2011-04-03 00:38:00,234.75,222.0,213.75,272.25,1179.75,836.25,624.0,566.25,27.75,914.25,460.0,54.9575,1.53257,0.64205801,0.0
